channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCpOWAKe4ZYtWP9Ir3Nol0YQ,UCpOWAKe4ZYtWP9Ir3Nol0YQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCSm6bs3ugHILuSehrmgnZdQ,UCSm6bs3ugHILuSehrmgnZdQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCH6-OKXE6CObZIkTqSeMrgA,UCH6-OKXE6CObZIkTqSeMrgA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCzjmaAu5jd6vrGPaP2BTMVg,UCzjmaAu5jd6vrGPaP2BTMVg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCK2fgnE2wbFGzCcEcKrcW3A,UCK2fgnE2wbFGzCcEcKrcW3A,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCL5a-LgFiN0v43r1JT_8_FA,UCL5a-LgFiN0v43r1JT_8_FA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCPfo9buZTcr131erx6PEEPw,UCPfo9buZTcr131erx6PEEPw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC-PzhxFaPulWcgsZ-kH45FA,UC-PzhxFaPulWcgsZ-kH45FA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCdkBE0xDVwo4HFGI5j3thxg,UCdkBE0xDVwo4HFGI5j3thxg,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UC5EbJoRnqfwo9-wBEAkcdcQ,UC5EbJoRnqfwo9-wBEAkcdcQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
